name,nu,Pr,Lk,Lb,Fr,Ri,Gn,Gamma1,Gamma2,Ek,pb,ps,ek,Ep,ep,tStamp,Nx,Lx
R1P1,0.000498184,1,0.014448043,0.014448043,0.442324643,0.163112377,34.7360125,0.190904607,0.19331104,0.01579235,0.000545146,0.003376976,0.002820165,0.002374478,0.000538373,1100.000000,1536,25.13272
R1P7,0.000498184,7,0.014409692,0.005446352,0.440429361,0.169512574,33.9472034,0.153398086,0.15329986,0.01580119,0.000439107,0.003300658,0.002864317,0.003346427,0.000439453,28.989493,3072,25.13272
R1P50,0.000498184,50,0.014326093,0.002026015,0.458106463,0.165022379,35.75592168,0.13147045,0.132337354,0.01578948,0.000388736,0.003328969,0.002930337,0.003879824,0.000253477,56.563117,8000,25.13272
R4P1,0.000250061,1,0.008391559,0.008391559,0.502700599,0.153183232,81.13476579,0.189414229,0.189807905,0.015788082,0.000589311,0.003700585,0.003105235,0.002081826,0.000588088,270.006053,2048,25.13272
R4P7,0.000250061,7,0.008354104,0.003157555,0.514407556,0.153071918,83.03576523,0.164718544,0.166045814,0.015788572,0.000527507,0.003707671,0.003077681,0.002645861,0.000288165,161.636386,5120,25.13272
R4P50,0.000250061,50,0.008332394,0.001178378,0.519005432,0.15256367,83.91376932,0.154253787,0.156746358,0.015789314,0.000501656,0.003704632,0.003144979,0.002981864,8.19E-05,117.315250,16000,25.13272
R6P1,0.000125138,1,0.004941894,0.004941894,0.60068807,0.121122099,217.9681309,0.162014189,0.162292604,0.015793031,0.000535653,0.003844195,0.003300778,0.001576473,0.000534736,96.533028,3072,25.13272
R6P7,0.000125031,7,0.004967891,0.001877686,0.570804946,0.127305618,201.6756645,0.153302457,0.15432189,0.01576009,0.000495294,0.003713092,0.003208877,0.002029391,0.000486402,55.809401,12288,25.13272
R6P50,0.000125031,50,0.004940759,0.000698729,0.599489073,0.121400954,216.8287853,0.136234173,0.144519878,0.015743234,0.000474939,0.003763037,0.003286439,0.002460425,0.000358481,51.658601,24000,25.13272
R8P1,3.14E-05,1,0.001934914,0.001934914,0.395253462,0.151974367,512.8375217,0.18713724,0.188767549,0.015796768,0.000456816,0.002888212,0.002423677,0.001460722,0.000452857,95.780500,8736,25.13272
R8P7,3.14E-05,7,0.001871112,0.000707214,0.423828773,0.15243753,545.9822723,0.190274696,0.192554736,0.015752765,0.000498502,0.003080221,0.002447473,0.001850983,0.000314962,42.000090,23040,25.13272
R10P1,1.98E-05,1,0.001311761,0.001311761,0.463452518,0.129869822,1024.080146,0.176600355,0.17853878,0.015785227,0.000470506,0.003118473,0.002190351,0.001432107,0.000348773,252.420500,12288,25.13272
R10P7,1.98E-05,7,0.001340697,0.000506736,0.400515189,0.153229719,814.6178407,0.191533327,0.197577416,0.015737116,0.000485803,0.002960812,0.002336781,0.001777894,0.000251993,48.210113,31680,25.13272
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
